Year,Year2,Year3,State,Total Rev
12/1/02,2002-00-01,1/1/02,United States,0
12/1/02,2002-00-01,1/1/02,Alabama,0
12/1/02,2002-00-01,1/1/02,Alaska,0
12/1/02,2002-00-01,1/1/02,Arizona,0
12/1/02,2002-00-01,1/1/02,Arkansas,0
12/1/02,2002-00-01,1/1/02,California,0
12/1/02,2002-00-01,1/1/02,Colorado,0
12/1/02,2002-00-01,1/1/02,Connecticut,0
12/1/02,2002-00-01,1/1/02,Delaware,0
12/1/02,2002-00-01,1/1/02,District of Columbia,0
12/1/02,2002-00-01,1/1/02,Florida,0
12/1/02,2002-00-01,1/1/02,Georgia,0
12/1/02,2002-00-01,1/1/02,Hawaii,0
12/1/02,2002-00-01,1/1/02,Idaho,0
12/1/02,2002-00-01,1/1/02,Illinois,0
12/1/02,2002-00-01,1/1/02,Indiana,0
12/1/02,2002-00-01,1/1/02,Iowa,0
12/1/02,2002-00-01,1/1/02,Kansas,0
12/1/02,2002-00-01,1/1/02,Kentucky,0
12/1/02,2002-00-01,1/1/02,Louisiana,0
12/1/02,2002-00-01,1/1/02,Maine,0
12/1/02,2002-00-01,1/1/02,Maryland,0
12/1/02,2002-00-01,1/1/02,Massachusetts,0
12/1/02,2002-00-01,1/1/02,Michigan,0
12/1/02,2002-00-01,1/1/02,Minnesota,0
12/1/02,2002-00-01,1/1/02,Mississippi,0
12/1/02,2002-00-01,1/1/02,Missouri,0
12/1/02,2002-00-01,1/1/02,Montana,0
12/1/02,2002-00-01,1/1/02,Nebraska,0
12/1/02,2002-00-01,1/1/02,Nevada,0
12/1/02,2002-00-01,1/1/02,New Hampshire,0
12/1/02,2002-00-01,1/1/02,New Jersey,0
12/1/02,2002-00-01,1/1/02,New Mexico,0
12/1/02,2002-00-01,1/1/02,New York,0
12/1/02,2002-00-01,1/1/02,North Carolina,0
12/1/02,2002-00-01,1/1/02,North Dakota,0
12/1/02,2002-00-01,1/1/02,Ohio,0
12/1/02,2002-00-01,1/1/02,Oklahoma,0
12/1/02,2002-00-01,1/1/02,Oregon,0
12/1/02,2002-00-01,1/1/02,Pennsylvania,0
12/1/02,2002-00-01,1/1/02,Rhode Island,0
12/1/02,2002-00-01,1/1/02,South Carolina,0
12/1/02,2002-00-01,1/1/02,South Dakota,0
12/1/02,2002-00-01,1/1/02,Tennessee,0
12/1/02,2002-00-01,1/1/02,Texas,0
12/1/02,2002-00-01,1/1/02,Utah,0
12/1/02,2002-00-01,1/1/02,Vermont,0
12/1/02,2002-00-01,1/1/02,Virginia,0
12/1/02,2002-00-01,1/1/02,Washington,0
12/1/02,2002-00-01,1/1/02,West Virginia,0
12/1/02,2002-00-01,1/1/02,Wisconsin,0
12/1/02,2002-00-01,1/1/02,Wyoming,0
12/1/03,2003-00-01,1/1/03,United States,0.016264806
12/1/03,2003-00-01,1/1/03,Alabama,-0.010872059
12/1/03,2003-00-01,1/1/03,Alaska,0.010435658
12/1/03,2003-00-01,1/1/03,Arizona,-0.002370996
12/1/03,2003-00-01,1/1/03,Arkansas,0.005129667
12/1/03,2003-00-01,1/1/03,California,0.060855742
12/1/03,2003-00-01,1/1/03,Colorado,0.039829034
12/1/03,2003-00-01,1/1/03,Connecticut,0.015898327
12/1/03,2003-00-01,1/1/03,Delaware,0.029328803
12/1/03,2003-00-01,1/1/03,District of Columbia,-0.029094815
12/1/03,2003-00-01,1/1/03,Florida,0.0167664
12/1/03,2003-00-01,1/1/03,Georgia,-0.002462458
12/1/03,2003-00-01,1/1/03,Hawaii,0.08065212
12/1/03,2003-00-01,1/1/03,Idaho,0.006411969
12/1/03,2003-00-01,1/1/03,Illinois,0.002106841
12/1/03,2003-00-01,1/1/03,Indiana,-0.137918068
12/1/03,2003-00-01,1/1/03,Iowa,0.028575267
12/1/03,2003-00-01,1/1/03,Kansas,0.043363717
12/1/03,2003-00-01,1/1/03,Kentucky,0.021527199
12/1/03,2003-00-01,1/1/03,Louisiana,0.027548433
12/1/03,2003-00-01,1/1/03,Maine,0.042996019
12/1/03,2003-00-01,1/1/03,Maryland,0.002644722
12/1/03,2003-00-01,1/1/03,Massachusetts,0.001542997
12/1/03,2003-00-01,1/1/03,Michigan,-0.031223609
12/1/03,2003-00-01,1/1/03,Minnesota,0.038652066
12/1/03,2003-00-01,1/1/03,Mississippi,0.05424963
12/1/03,2003-00-01,1/1/03,Missouri,-0.012702006
12/1/03,2003-00-01,1/1/03,Montana,0.021735362
12/1/03,2003-00-01,1/1/03,Nebraska,0.006285314
12/1/03,2003-00-01,1/1/03,Nevada,0.012945338
12/1/03,2003-00-01,1/1/03,New Hampshire,0.047614532
12/1/03,2003-00-01,1/1/03,New Jersey,0.051777052
12/1/03,2003-00-01,1/1/03,New Mexico,0.012230921
12/1/03,2003-00-01,1/1/03,New York,0.029151331
